domain,sample_id,split,branch,p0,p1,p2,p3,p4,p5,root,gradient,residual,root_count,status
cstr,cstr_0000000,dev,low_triple,0.00001856585365098509619038546412491740659583776659434577478,92.4034040098786135786212980747222900390625,36.42439027164033404915244318544864654541015625,0,0,0,0.00001857807608143277480382819219955245309915239224445337089,1.001317302179380265312856818210977950075994037663927452,3.111507638930570853572032026890062120295126084360583567e-61,3,ROOT_OK
cstr,cstr_0000001,dev,high_single,0.01110423147954109701823359795274293906591434327478338233,15.7292416044612775039013286004774272441864013671875,3.9120327309127933546051281155087053775787353515625,0,0,0,0.01147947441063665484841595681161396708761107084014931272,1.069116347694307351135662384003577393888372887330388006,1.593091911132452277028880397767711805591104555192618786e-58,1,ROOT_OK
cstr,cstr_0000002,dev,low_single,2.680938123053218911566698182621021998155674452166259022,19.89858950447639784897546633146703243255615234375,1.4162332100063428352854089098400436341762542724609375,0,0,0,0.898654480580978171926328886753504436396530208745557129,0.03833964618404053034071031501207139019840796960843687695,0.0,1,ROOT_OK
cstr,cstr_0000003,dev,high_triple,0.00001411642582541426684889869434117104915700712797738902254,29.752713207673959772137095569632947444915771484375,47.727095754362352408861625008285045623779296875,0,0,0,0.9992187389339592956346007698087518165882261228875038448,55.60667861210940338418526802419623158735383068004371025,1.019578823124769457298483454571335555578306915323276023e-56,3,ROOT_OK
cstr,cstr_0000004,dev,low_single,0.00180479088021350288960151624249632403885349000863002886,3.8688826492161876302589007536880671977996826171875,2.042363549516196474797880000551231205463409423828125,0,0,0,0.001808186407942947093035292007998835027991202608429221331,1.003762922357389848687976924742506059729348199643067242,1.991364888915565346286100497209639756988880693990773483e-59,1,ROOT_OK
cstr,cstr_0000005,dev,high_single,0.04633612968335944665027229778002069960429365077490467195,6.92102593882754657528266761801205575466156005859375,2.4077503010410641337557535734958946704864501953125,0,0,0,0.04951839992702510265962619359839996881737441804318978368,1.140684358583116725543378722409060461919764127628339005,0.0,1,ROOT_OK
cstr,cstr_0000006,cal,low_triple,0.0002438383863834680603857544225751933859936901144484249248,59.09609473800320955660936306230723857879638671875,81.698713371914863046185928396880626678466796875,0,0,0,0.000248781495350800087963577172876973625550663764799518573,1.041160149143086216088956268382735553667924821026175703,0.0,3,ROOT_OK
cstr,cstr_0000007,cal,high_single,0.00741851954487168470912774827804990908542741194009836208,14.65985809630308978057655622251331806182861328125,4.604974200498201497566697071306407451629638671875,0,0,0,0.00762438861633858173882560874149965393998427380982461359,1.05655184622601845030525022718239246389320449324949936,0.0,1,ROOT_OK
cstr,cstr_0000008,test,low_single,0.5740397319084312591618528262216624375050891469450637278,27.989249623568042579790926538407802581787109375,3.584183418979365765011380062787793576717376708984375,0,0,0,0.9154228970233255754433999798057619585725753451299746073,0.1734335390248414975413249195404975261257091910984252301,0.0,1,ROOT_OK
cstr,cstr_0000009,test,high_triple,0.0000265369199472983749656374201403136259192418834939769751,77.292788397682016920953174121677875518798828125,30.214279404450547161786744254641234874725341796875,0,0,0,0.9999861266851906096801768754910638215480496962864807543,0.5228989978545950915776158490329881524048588425378471953,1.019578823124769457298483454571335555578306915323276023e-56,3,ROOT_OK
cstr,cstr_0000010,dev,low_single,2.09855627022143650226264958127289473226524778336897335,21.127801817678932394528601435013115406036376953125,2.59593835334985900686888271593488752841949462890625,0,0,0,0.9502722787202352993192543606083964861209190031687113315,0.0249742967841558412211304565897319282450600610001887565,0.0,1,ROOT_OK
