domain,sample_id,split,branch,p0,p1,p2,p3,p4,p5,root,gradient,residual,root_count,status
bem,bem_0000000,dev,smooth,7.16821587762328871207273550680838525295257568359375,0.128745414378230449425899450943688862025737762451171875,0.2254609439683740779357010273774462410211130827199801299,6.283185307179586476925286766559005768394338798750211642,0.01475703697155921097217134985157827031798660755157470703,0,0.1841225487345015030099483487086859799980008983785999724,-0.008148150832383929080991243666768034228124863233382268523,3.186183822264904554057760795535423611182209110385237572e-57,1,ROOT_OK
bem,bem_0000001,dev,smooth,3.002229494225246764216308292816393077373504638671875,0.0569604943904235827556448157338309101760387420654296875,0.001540252626705741818759522964246276336970919044098283795,6.283185307179586476925286766559005768394338798750211642,0.006987816560683783248530964726796810282394289970397949219,0,0.2321226743759144407178620887514909733497848979139643932,-0.09891406552947834779897589987547332251071150738298207051,1.274473528905961821623104318214169444472883644154095029e-57,1,ROOT_OK
bem,bem_0000002,dev,smooth,2.40882766836606609928139732801355421543121337890625,0.1773522304604995547538948130750213749706745147705078125,0.03215622494694069140982622698229355068405862716673812365,6.283185307179586476925286766559005768394338798750211642,0.0072965183407253941805237218432012014091014862060546875,0,0.1705365758826917246442616012882593027256443567707299705,-0.112347256679645565364089087554749045921594852141036172,5.097894115623847286492417272856677777891534576616380115e-57,1,ROOT_OK
bem,bem_0000003,dev,smooth,1.4149908674107809503084354219026863574981689453125,0.0917831236693134322468523578208987601101398468017578125,0.03812863064114487900085216203242307465312960601804213454,6.283185307179586476925286766559005768394338798750211642,0.007682272616937299396233651549437126959674060344696044922,0,0.4782613306966272323187482574894041766009920529507469192,-0.318289591224235280341669813999162118009526129080615356,5.097894115623847286492417272856677777891534576616380115e-57,1,ROOT_OK
bem,bem_0000004,dev,smooth,12.318914539726090850990658509545028209686279296875,0.137517517927878751837766913013183511793613433837890625,0.207114126433056384448417022376462869876082410061890339,6.283185307179586476925286766559005768394338798750211642,0.012996000689413700346364066717796958982944488525390625,0,0.1545024670425096568135925475972992344262476641121586443,-0.002288171395560695433871271202979467992831865967453616066,2.548947057811923643246208636428338888945767288308190058e-57,1,ROOT_OK
bem,bem_0000005,dev,smooth,2.591844848874007567474109237082302570343017578125,0.1684999834661299045190929746240726672112941741943359375,0.2066408152780333166800403505904986701604270986089560847,6.283185307179586476925286766559005768394338798750211642,0.006812010265115998018659038137911920784972608089447021484,0,0.2907822648837951680039826442611710321066944028665071093,-0.07809133877961166747294074696152173083088866426165709104,2.548947057811923643246208636428338888945767288308190058e-57,1,ROOT_OK
bem,bem_0000006,cal,smooth,11.0924958671957352152048770221881568431854248046875,0.150844127294431640251559656462632119655609130859375,0.1473948145473939475939204420441621455940163948938739213,6.283185307179586476925286766559005768394338798750211642,0.009586584054559286333097034571437689010053873062133789063,0,0.1272962134496172888066490226888841975585651999363777971,-0.00255965029303448421378574612481383142809219629666916975,0.0,1,ROOT_OK
bem,bem_0000007,cal,smooth,13.86321865266777564329458982683718204498291015625,0.156235780800947576807402583654038608074188232421875,0.2115414363574046791134291896956892683740374056942330482,6.283185307179586476925286766559005768394338798750211642,0.009990018633085313154440498806252435315400362014770507813,0,0.1570636521295247545330751264002346732565543054552795178,-0.001676845959561061818104445709534217270379767949470952514,2.548947057811923643246208636428338888945767288308190058e-57,1,ROOT_OK
bem,bem_0000008,test,smooth,7.9889181835225446803860904765315353870391845703125,0.191549091832305340421527262151357717812061309814453125,0.05645917938015828830757147424089199306770491092275553295,6.283185307179586476925286766559005768394338798750211642,0.010882573357918146061962261228472925722599029541015625,0,0.06927838456741182073325461866022512155613507773959865819,-0.003418779999938552918818115015469673613690272169863223609,2.548947057811923643246208636428338888945767288308190058e-57,1,ROOT_OK
bem,bem_0000009,test,smooth,7.80866558427072465775609089178033173084259033203125,0.1035287233228125713946354835570673458278179168701171875,0.2242686308617684366794478981947999306687132172958176767,6.283185307179586476925286766559005768394338798750211642,0.0171134292455520642395327968188212253153324127197265625,0,0.1741972033076967158187411987106965517704209679681294103,-0.007338045217742589992129876463159426917025501130598563535,5.097894115623847286492417272856677777891534576616380115e-57,1,ROOT_OK
