domain,sample_id,split,branch,p0,p1,p2,p3,p4,p5,root,gradient,residual,root_count,status
peng_robinson,peng_robinson_0000000,dev,liquid_triple,0.07163937415056053818125491543278656727640504475961943611,0.001607736380598141367357108242742711795869467669093670827,0,0,0,0,0.001687104656382218542823980895260953085788177686504821844,-0.001220001168772428969041810515144913697833310568568588977,0.0,3,ROOT_OK
peng_robinson,peng_robinson_0000001,dev,vapor_single,0.73863020674708879109715553568094037473201751708984375,0.03712559008076553312971412879051058553159236907958984375,0,0,0,0,0.04180638826046302733936104685362349917806059612652578004,-0.008001654141936678211433468166563241034513276821493077579,0.0,1,ROOT_OK
peng_robinson,peng_robinson_0000002,dev,liquid_single,0.397496339626118355692341310714255087077617645263671875,0.05186456100024159493466768822145240847021341323852539063,0,0,0,0,0.08322551628431528452545921602133510264368410289169538471,-0.2109593544421290708829887121716314513858835540197853679,0.0,1,ROOT_OK
peng_robinson,peng_robinson_0000003,dev,vapor_triple,0.01286902778879289052415864692165096399666276444078780259,0.0001849318275165570179001499410455543927789736830487397629,0,0,0,0,0.9871557842719247210416571657419779215232212592066510265,-1.025976175315695395868451646655719267289669432764791403,1.910504584148857136228897314910834267637711104873452817e-57,3,ROOT_OK
peng_robinson,peng_robinson_0000004,dev,liquid_single,0.150629687026185565823510614791302941739559173583984375,0.04276979708268289354089475295950251165777444839477539063,0,0,0,0,0.8963820389233955510682040344409947625508503367195494441,-1.132086677545048917031395071601796894139333155525636436,2.548947057811923643246208636428338888945767288308190058e-57,1,ROOT_OK
peng_robinson,peng_robinson_0000005,dev,vapor_single,0.202187528064375232617067013052292168140411376953125,0.0934403569766648345318316160046379081904888153076171875,0,0,0,0,0.9291030549351000348711476348330622199554349015351507304,-0.9344987367540064883825791773190775204542363521249512919,1.11516433779271659392021627843739826391377318863483315e-57,1,ROOT_OK
peng_robinson,peng_robinson_0000006,cal,liquid_triple,0.007017568364095107209566153249348271854536319204253529959,0.0004410326145395574654428029838144575728055524936981951002,0,0,0,0,0.0005161496150553742255223956981090200966339458140402747501,-0.01471764144215712675326437605042455074112889231317956168,0.0,3,ROOT_OK
peng_robinson,peng_robinson_0000007,cal,vapor_single,0.8957563584768089004484181714360602200031280517578125,0.1694041755326778642132268259956617839634418487548828125,0,0,0,0,0.3955718380709447010710235997250260490779060832104107778,-0.7987125302041233987888417643956646268288273668948719683,1.274473528905961821623104318214169444472883644154095029e-57,1,ROOT_OK
peng_robinson,peng_robinson_0000008,test,liquid_single,0.56349916133763822134739029934280551970005035400390625,0.1152034954820104484252141219258191995322704315185546875,0,0,0,0,0.4979460326841929178175714337397773481923808631203914788,-2.454019411860282568646324782528450323169331173767603817,1.274473528905961821623104318214169444472883644154095029e-57,1,ROOT_OK
peng_robinson,peng_robinson_0000009,test,vapor_triple,0.01507571167834441068498995372594343440556454458850400916,0.001140660735854358503858009208953769469879679717765131173,0,0,0,0,0.9859023091221186346607059608147765825986749171830364805,-1.026600636019036609924491811890786971004641198604114259,6.365833478488054909323020323814378091911798455993317919e-57,3,ROOT_OK
